fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Mads Mansion -Victorian Mansion on Washington Park,493882819,Terra,NINTH WARD,42.656329,-73.7752048,entire home/apt,821.0,5,2024-08-18,0.22,6,144,3
The front room w/ TV and king size bed,116935236,Felicisimo,THIRTEENTH WARD,42.67144,-73.79033,private room,45.0,17,2025-06-07,0.75,5,356,7
COMFY Room/w Private BATH + TV,177073982,Cristian,FOURTEENTH WARD,42.66109,-73.80479,private room,52.0,3,2023-11-30,0.11,2,250,0
Cozy Home 5 Minute Walk to Albany Medical Center,500360485,Manjano,SIXTH WARD,42.65184,-73.77074,entire home/apt,93.0,0,2025-05-18,1.255,1,0,0
Boho-Chic Cape Conveniently Located,210596861,Craig,FIFTEENTH WARD,42.67076,-73.82612,entire home/apt,246.0,103,2025-06-07,3.76,1,330,40
Mellow Cove,462042479,Natasha,SIXTH WARD,42.66008,-73.76977,entire home/apt,137.0,6,2024-07-09,0.28,2,356,2
Modern Cottage-Perfect for Families!,268741708,Antoinette,FIRST WARD,42.63504,-73.79833,entire home/apt,320.0,116,2025-06-08,4.31,1,159,50
Spacious Home Away from Home!,49372011,Philip,TWELFTH WARD,42.67336,-73.78619,entire home/apt,221.0,19,2025-01-24,0.72,1,158,4
Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,SECOND WARD,42.6446,-73.75885,private room,86.0,174,2025-06-07,6.57,1,327,83
"Plum room, private queen near hospitals, UAlbany",20536619,Emily,THIRTEENTH WARD,42.67177,-73.79464,private room,61.0,16,2025-05-22,0.71,8,85,10
Modern / Downtown Albany 1 BR APT,512736975,Miguelino,TENTH WARD,42.6599733,-73.7747433,entire home/apt,64.0,61,2025-02-15,2.43,1,253,18
The Comfort II,459472925,Gabriel,THIRD WARD,42.66246,-73.76576,private room,36.0,27,2025-05-16,1.1,2,353,8
"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,Rashawn,TENTH WARD,42.66087,-73.78655,entire home/apt,200.0,53,2025-05-25,2.2,1,250,14
Room for rent,502751555,Grace,FIFTH WARD,42.67292,-73.7776,private room,93.0,0,2025-05-18,1.255,1,364,0
